"id","name","price","status","item_type","sourced_from","giftoption","random_crap","shop"
1,"banana",45,True,"fruit",NULL,False,NULL,NULL
2,"apple",50,False,"fruit",NULL,False,NULL,NULL
3,"peale",90,False,"fruit",NULL,False,NULL,NULL
4,"peale",60,False,"fruit",NULL,False,NULL,NULL
5,"peale",20,False,"fruit",NULL,False,NULL,NULL
6,"peale",99,False,"fruit",NULL,False,NULL,NULL
7,"peale",912,False,"fruit",NULL,False,NULL,NULL
8,"peale",60,False,"fruit","murica",True,46,"bruh"
9,"antalope",120,False,"fruit","africa",True,69,"gabbar"
10,"antope",10,False,"fruit","africa",False,69,"gabbar"
11,"alope",1220,False,"fruit","africa",True,69,"gabbar"
12,"peale",60,False,"fruit","murica",True,46,"bruh"
13,"banana",30,True,"fruit","Ecuador",False,25,"fruit_shop"
14,"chair",120,False,"furniture","Sweden",True,75,"ikea"
15,"toaster",45,True,"appliance","China",False,30,"walmart"
16,"laptop",800,True,"electronics","USA",True,150,"best_buy"
17,"notebook",5,True,"stationery","Canada",False,1,"office_depot"
18,"shirt",25,False,"clothing","Bangladesh",True,5,"gap"
19,"pen",2,True,"stationery","Germany",False,1,"staples"
20,"sofa",500,False,"furniture","Italy",True,100,"ashley_furniture"
21,"coffee_mug",12,True,"kitchen","Brazil",False,3,"target"
22,"headphones",150,True,"electronics","Japan",True,20,"sony_store"
23,"table",200,False,"furniture","Poland",True,50,"ikea"
24,"apple",2,True,"fruit","USA",False,1,"supermarket"
25,"bed",600,False,"furniture","Sweden",True,200,"ikea"
26,"jacket",80,True,"clothing","Vietnam",False,10,"zara"
27,"backpack",45,True,"accessories","China",False,5,"adidas_store"
28,"printer",150,True,"electronics","USA",True,25,"hp_store"
29,"water_bottle",10,True,"kitchen","India",False,2,"supermarket"
30,"sneakers",100,False,"footwear","Vietnam",True,15,"nike_store"
31,"lamp",40,True,"furniture","USA",False,10,"walmart"
32,"mirror",70,False,"furniture","China",True,30,"home_depot"
33,"guitar",250,True,"musical_instrument","USA",False,50,"guitar_center"
34,"piano",1500,False,"musical_instrument","Germany",True,500,"music_store"
35,"microwave",100,True,"appliance","Korea",False,20,"best_buy"
36,"book",15,True,"literature","UK",False,2,"bookstore"
37,"camera",500,True,"electronics","Japan",True,75,"canon_store"
38,"watch",200,False,"accessories","Switzerland",True,40,"swatch_store"
39,"blender",60,True,"appliance","China",False,15,"walmart"
40,"television",400,True,"electronics","USA",True,100,"best_buy"
41,"rug",150,False,"furniture","Turkey",True,60,"home_depot"
42,"shampoo",8,True,"personal_care","France",False,1,"supermarket"
43,"conditioner",8,True,"personal_care","France",False,1,"supermarket"
44,"socks",10,False,"clothing","Bangladesh",True,2,"gap"
45,"suitcase",120,True,"travel","Italy",False,20,"samsonite_store"
46,"bicycle",300,False,"sports","Taiwan",True,75,"sports_store"
47,"t-shirt",20,True,"clothing","India",False,3,"gap"
48,"umbrella",15,True,"accessories","China",False,2,"supermarket"
49,"wallet",50,False,"accessories","Italy",True,10,"gucci_store"
50,"desk",250,False,"furniture","USA",True,80,"ikea"
51,"earbuds",80,True,"electronics","Korea",False,10,"samsung_store"
52,"glasses",100,False,"accessories","Japan",True,15,"optical_store"
